equipment_name,model,operating_weight,gross_power,_at_engine_speed,bucket_capacity,lifting_capacity_along_undercarriage,_at_reach_height,max_digging_reach,max_digging_depth,breakout_force_sae_j1179_normal_,tear_out_force_sae_j1179_normal_,overall_width,tail_swing_radius,brochure_link,breakout_force_sae_j1179_boost_,tear_out_force_sae_j1179_boost_,max_lifting_capacity,breakout_force_iso_normal_,breakout_force_iso_boost_,max_speed,engine,travel_speed_low_high,slewing_speed,breakout_force,tear_out_force_arm_breakout_force_,overall_length,main_hydraulic_pump_max_flow,net_power,operating_weight_canopy_version,boom_swing_angle_left_right,static_tipping_load_at_full_turn,max_power_at,_ece_r120_net,_iso_9249_sae_j1349_net,max_torque_at,tires,max_torque_at_1,log_grapples,_iso_14396_gross,_sae_j1995_gross,payload_capacity,body_volume_sae_2_1_heap,net_weight,gross_weight,max_engine_gross_power,max_sae_j1349_gross_torque,engine_gross_power,max_tipping_capacity,rated_capacity,std_boom_length,extended_boom_length,max_working_slope
Large Crawler Excavators,EC750D,"72,700 - 74,700 kg",385 kW,"1,800 rpm",3.3 - 5.16 m³,"26,110 kg",6 / 1.5 m,"11,460 mm","7,210 mm",325 kN,314 kN,"4,290 mm","4,140 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC950E,"89,960 - 91,840 kg",450 kW,"1,800 rpm",3.9 - 6 m³,"37,460 kg",6 / 1.5 m,"12,270 mm","7,120 mm",424 kN,408 kN,"4,515 mm","4,700 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC550E,"53,740 - 58,000 kg",320 kW,"1,600 rpm",2.4 - 4.2 m³,"20,780 kg",6 / 1.5 m,"12,180 mm","7,690 mm",251 kN,220 kN,"3,900 mm","3,880 mm",,269 kN,235 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC480D,"47,300 - 53,100 kg",265 kW,"1,700 rpm",1.77 - 3.8 m³,"15,670 kg",6 / 1.5 m,"13,260 mm","9,170 mm",230 kN,160 kN,"3,440 mm","3,800 mm",,251 kN,174 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC380D,"37,800 - 41,100 kg",215 kW,"1,700 rpm",1.35 - 3 m³,"14,540 kg",6 / 1.5 m,"11,720 mm","8,150 mm",198 kN,141 kN,"3,340 mm","3,800 mm",,215 kN,154 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC360,"36,000 - 37,500 kg",210 kW,"1,600 rpm",1.92 - 2.33 m³,"23,050 kg",10 / -10 m,"10,852 mm","7,167 mm",201 kN,160 kN,"3,190 mm","3,585 mm",,219 kN,174 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC350D,"34,300 - 38,700 kg",210 kW,"1,800 rpm",1 - 2.53 m³,"12,480 kg",6 / 1.5 m,"11,110 mm","7,480 mm",177 kN,156 kN,"3,190 mm","3,560 mm",,193 kN,170 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC300D,"27,700 - 33,100 kg",170 kW,"1,800 rpm",0.52 - 2.02 m³,"11,020 kg",6 / 1.5 m,"10,720 mm","7,350 mm",168 kN,132 kN,"3,190 mm","3,120 mm",,182 kN,143 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC250D,"24,600 - 28,000 kg",138 kW,"1,800 rpm",0.48 - 1.85 m³,"8,260 kg",6 / 1.5 m,"10,260 mm","6,980 mm",152 kN,115 kN,"2,990 mm","3,070 mm",,166 kN,125 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC230,"22,500 - 24,000 kg",123 kW,"1,800 rpm",1.44 m³,"10,140 kg",4.0 / 1.5 m,"9,930 mm","6,730 mm",145 kN,105 kN,"2,990 mm","2,850 mm",,153 kN,111 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC220D,"20,900 - 24,400 kg",123 kW,"1,800 rpm",0.48 - 1.44 m³,"7,060 kg",6 / 1.5 m,"10,390 mm","7,330 mm",130 kN,93 kN,"2,700 mm","2,750 mm",,137 kN,98 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC220,"21,600 - 22,600 kg",123 kW,"2,000 rpm",1.27 m³,"8,830 kg",4.0 / 1.5 m,"9,930 mm","6,744 mm",136 kN,98 kN,"2,800 mm","2,850 mm",,144 kN,105 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC210D,"18,100 - 22,800 kg",123 kW,"2,000 rpm",0.52 - 1.22 m³,"7,240 kg",6 / 1.5 m,"9,930 mm","6,730 mm",123 kN,96 kN,"2,800 mm","2,850 mm",,130 kN,102 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC210,"20,800 - 21,600 kg",123 kW,"2,000 rpm",1.1 m³,"8,000 kg",4.0 / 1.5 m,"9,930 mm","6,744 mm",136 kN,92 kN,"2,800 mm","2,870 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC200D,"19,800 - 20,300 kg",123 kW,"2,000 rpm",0.8 m³,"6,030 kg",6 / 1.5 m,"9,840 mm","6,680 mm",116 kN,90 kN,"2,800 mm","2,860 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC140D,"12,820 - 16,730 kg",77.4 kW,"2,200 rpm",0.25 - 0.75 m³,"3,300 kg",6 / 1.5 m,"8,330 mm","5,530 mm",82.2 kN,61.8 kN,"2,590 mm","2,200 mm",,87.2 kN,65.5 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Wheeled Excavators,EW205D,"19,800 - 21,800 kg",129.5 kW,"2,000 rpm",0.48 - 1.1 m³,,6 / 1.5 m,"9,890 mm","5,765 mm",,,,"2,800 mm",,,,"6,500 kg",136 kN,144 kN,36 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Wheeled Excavators,EW145B Prime,"12,800 - 15,000 kg",110 kW,"2,000 rpm",0.23 - 0.6 m³,,6 / 1 m,"7,770 mm","4,700 mm",,,,"2,290 mm",,,,"4,860 kg",92.1 kN,97.1 kN,37 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compact Excavators,EC75D,"7,400 - 7,800 kg",42.4 kW,"2,000 rpm",0.34 m³,,,,,,,"2,230 mm",,,,,,,,,Volvo D2.6D,2.86 / 5 km/h,10.5 rpm,56 kN,38 kN,"6,290 mm",160 l/min,,,,,,,,,,,,,,,,,,,,,,,,,
Compact Excavators,EC55D,"5,400 - 5,630 kg",36.5 kW,"2,000 rpm",0.2 m³,,,,,,,"1,920 mm",,,,,,,,,Volvo D2.6A,2.6 / 4.3 km/h,9 rpm,0 kN,26 kN,"5,885 mm",142.4 l/min,34.5 kW,,,,,,,,,,,,,,,,,,,,,,,,
Compact Excavators,EC27D,"2,730 kg",15.6 kW,"2,400 rpm",0.03 - 0.12 m³,,,,,,,"1,550 mm",,,,,,,,,Volvo D1.1A,2.6 / 4.8 km/h,9.4 rpm,24.6 kN,18.1 kN,"3,933 mm",65 l/min,14.8 kW,"2,640 kg",72.5 / 53 °,,,,,,,,,,,,,,,,,,,,,,
Large Wheel Loaders,L350H,"50,000 - 56,300 kg",,,6.2 - 12.7 m³,,,,,,,,,,,,,,,,Volvo D16E,,,450 kN,,,,,,,"34,700 kg","1,700 - 1,800 rpm","2,550 Nm","2,547 Nm","1,400 rpm","35/65 R33, 875/65 R33",,,,,,,,,,,,,,,,
Large Wheel Loaders,L260H,"34,000 - 39,000 kg",,,5.3 - 10.2 m³,,,,,,,,,,,,,,,,Volvo D13E,,,284 kN,,,,,,,"23,800 kg","1,400 - 1,900 rpm","2,343 Nm","2,328 Nm",,29.5 R25 / 875/65R29,"1,100 - 1,150 rpm",,,,,,,,,,,,,,,
Large Wheel Loaders,L220H,"31,200 - 33,100 kg",,,4.3 - 16 m³,,,,,,,,,,,,,,,,D13F (Tier 2),,,245 kN,,,,,,,"21,000 kg","1,300 - 1,400 rpm","2,276 Nm","2,265 Nm","1,100 rpm","29.5 R25, 875/65 R29",,1.8 - 4 m²,,,,,,,,,,,,,,
Large Wheel Loaders,L200H High Lift,"35,000 - 40,000 kg",,,,,,,,,,,,,,,,,,,Volvo D13F,,,,,,,,,,,"1,300 - 1,400 rpm","2,071 Nm","2,065 Nm","1,000 rpm","775/65 R29, 875/65 R29",,3.4 - 4.3 m²,,,,,,,,,,,,,,
Large Wheel Loaders,L180H,"27,000 - 28,400 kg",,,3.7 - 16 m³,,,,,,,,,,,,,,,,D13F (Tier 2),,,236 kN,,,,,,,"18,900 kg","1,300 - 1,400 rpm","2,071 Nm","2,065 Nm","1,000 rpm","26.5 R25, 775/65 R29",,1.8 - 3.5 m²,,,,,,,,,,,,,,
Large Wheel Loaders,L150H,"24,100 - 25,600 kg",,,3.4 - 14 m³,,,,,,,,,,,,,,,,D13F (Tier 2),,,201 kN,,,,,,,"16,000 kg","1,300 rpm","1,999 Nm","1,996 Nm","1,000 rpm","26.5 R25, 775/65 R29",,1.6 - 3.5 m²,,,,,,,,,,,,,,
Large Wheel Loaders,L120H,"19,000 - 21,600 kg",,,2.6 - 9.5 m³,,,,,,,,,,,,,,,,Volvo D8L,,,170 kN,,,,,,,"12,500 kg","1,700 - 2,240 rpm",,"1,125 Nm",,750/65 R25,,1.3 - 2.4 m²,"1,125 Nm","1,065 Nm",,,,,,,,,,,,
Large Wheel Loaders,L110H,"18,000 - 20,700 kg",,,2.6 - 9.5 m³,,,,,,,,,,,,,,,,Volvo D8L,,,180 kN,,,,,,,"11,800 kg","1,700 - 2,240 rpm",,"1,048 Nm","1,600 rpm","23.5 R25, 750/65 R25",,1.3 - 2.4 m²,"1,048 Nm","1,065 Nm",,,,,,,,,,,,
Large Wheel Loaders,L90H,"14,500 - 17,300 kg",,,2.2 - 7 m³,,,,,,,,,,,,,,,,Volvo D6E,,,140 kN,,,,,,,"10,100 kg","1,600 - 1,900 rpm",,800 Nm,"1,600 rpm","20.5 R25, 650/65 R25",,1.3 - 2.4 m²,800 Nm,,,,,,,,,,,,,
Large Wheel Loaders,L70H,"12,700 - 15,500 kg",,,1.8 - 6.4 m³,,,,,,,,,,,,,,,,Volvo D6E,,,100 kN,,,,,,,"8,700 kg","1,600 - 1,800 rpm",,755 Nm,"1,600 rpm","20.5 R25, 600/65 R25",,0.9 - 1.5 m²,755 Nm,,,,,,,,,,,,,
Large Wheel Loaders,L60H,"11,000 - 13,600 kg",,,1.6 - 5 m³,,,,,,,,,,,,,,,,Volvo D6E,,,85 kN,,,,,,,"7,800 kg","1,600 - 1,800 rpm",,730 Nm,"1,600 rpm","17.5 R25, 20.5 R25, 600/65 R25",,0.7 - 1.3 m²,730 Nm,,,,,,,,,,,,,
Articulated Hauler,A60H,,,"1,050 rpm",,,,,,,,,,,,,,,,55 km/h,Volvo D16F,,,,,,,,,,,,,,,,,,,,"55,000 kg",33.6 m³,"43,400 kg","98,400 kg",495 kW,"3,200 Nm",,,,,,
Articulated Hauler,A50,,,"1,100 rpm",,,,,,,,,,,,,,,,57 km/h,Volvo D16F,,,,,,,,,,,,,,,,,,,,"45,000 kg",27.8 m³,"33,500 kg","78,490 kg",385 kW,"2,750 Nm",,,,,,
Articulated Hauler,A45,,,"1,000 rpm",,,,,,,,,,,,,,,,57 km/h,Volvo D16F,,,,,,,,,,,,,,,,,,,,"42,000 kg",25.5 m³,"32,200 kg","74,190 kg",365 kW,"2,600 Nm",,,,,,
Articulated Hauler,A40,,,"1,050 rpm",,,,,,,,,,,,,,,,57 km/h,Volvo D13F,,,,,,,,,,,,,,,,,,,,"39,000 kg",24 m³,"31,300 kg","70,210 kg",350 kW,"2,525 Nm",,,,,,
Articulated Hauler,A35,,,"1,000 rpm",,,,,,,,,,,,,,,,57 km/h,Volvo D13F,,,,,,,,,,,,,,,,,,,,"34,500 kg",21.3 m³,"29,800 kg","64,270 kg",336 kW,"2,407 Nm",,,,,,
Articulated Hauler,A30G,,,"1,200 rpm",,,,,,,,,,,,,,,,53 km/h,Volvo D11F,,,,,,,,,,,,,,,,,,,,"29,000 kg",17.8 m³,"23,200 kg","52,200 kg",265 kW,"2,040 Nm",,,,,,
Articulated Hauler,A25G,,,"1,100 rpm",,,,,,,,,,,,,,,,53 km/h,Volvo D11F,,,,,,,,,,,,,,,,,,,,"25,000 kg",15.3 m³,"22,350 kg","47,350 kg",235 kW,"2,040 Nm",,,,,,
Rigid Haulers,R100E,,783 kW,"1,300 rpm",,,,,,,,,,,,,,,,[[RigDrivetrain6thGearForwardMetric]] km/h,Cummins QST30 CAC (Tier 2 / Stage II),,,,,,,,,,,,,,,,,,,,"95,000 kg",60.4 m³,"69,550 kg","164,550 kg",,"4,631 Nm",,,,,,
Rigid Haulers,R70D,,567 kW,"1,350 rpm",,,,,,,,,,,,,,,,[[RigDrivetrain6thGearForwardMetric]] km/h,Detroit Diesel/MTU-2000TA (Tier 2 / Stage II),,,,,,,,,,,,,,,,,,,,"65,000 kg",41.5 m³,"47,690 kg","112,690 kg",,"3,323 Nm",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipelayers,PL4809D,"58,200 kg",,"1,800 rpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265 kW,102 t,50 t,9.2 m,11.23 m,30 °
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
